filename,artist,album,trackNumber,title
01 - angels holocaust.flac,Iced Earth,Night of the Stormrider,1,Angels Holocaust
02 - stormrider.flac,Iced Earth,Night of the Stormrider,2,Stormrider
03 - the path i choose.flac,Iced Earth,Night of the Stormrider,3,The Path I Choose
04 - before the vision.flac,Iced Earth,Night of the Stormrider,4,Before the Vision
05 - mystical end.flac,Iced Earth,Night of the Stormrider,5,Mystical End
06 - desert rain.flac,Iced Earth,Night of the Stormrider,6,Desert Rain
07 - pure evil.flac,Iced Earth,Night of the Stormrider,7,Pure Evil
08 - reaching the end.flac,Iced Earth,Night of the Stormrider,8,Reaching the End
09 - travel in stygian.flac,Iced Earth,Night of the Stormrider,9,Travel in Stygian
